date,adj_close,vol
2020-06-10 00:00:00-04:00,17.02,163952500
2020-06-11 00:00:00-04:00,14.38,124220800
2020-06-12 00:00:00-04:00,16.74,161101800
2020-06-15 00:00:00-04:00,16.7,122904100
2020-06-16 00:00:00-04:00,17.03,127369700
2020-06-17 00:00:00-04:00,16.98,71706700
2020-06-18 00:00:00-04:00,16.49,64265300
2020-06-19 00:00:00-04:00,16.0,92320200
2020-06-22 00:00:00-04:00,14.92,118994500
2020-06-23 00:00:00-04:00,14.0,204022300
2020-06-24 00:00:00-04:00,13.04,140975500
2020-06-25 00:00:00-04:00,13.17,117383400
2020-06-26 00:00:00-04:00,12.38,108813000
2020-06-29 00:00:00-04:00,13.32,115051100
2020-06-30 00:00:00-04:00,13.07,69607700
2020-07-01 00:00:00-04:00,12.81,116661700
2020-07-02 00:00:00-04:00,12.5,86439500
2020-07-06 00:00:00-04:00,12.8,79312900
2020-07-07 00:00:00-04:00,11.91,77998100
2020-07-08 00:00:00-04:00,11.99,85034500
2020-07-09 00:00:00-04:00,11.18,77131200
2020-07-10 00:00:00-04:00,11.94,90450800
2020-07-13 00:00:00-04:00,11.63,67580300
2020-07-14 00:00:00-04:00,11.57,49888200
2020-07-15 00:00:00-04:00,13.44,135444400
2020-07-16 00:00:00-04:00,12.45,81514000
2020-07-17 00:00:00-04:00,11.91,67934100
2020-07-20 00:00:00-04:00,11.47,64109600
2020-07-21 00:00:00-04:00,11.47,64509800
2020-07-22 00:00:00-04:00,11.36,42461300
2020-07-23 00:00:00-04:00,11.77,115574800
2020-07-24 00:00:00-04:00,11.39,53761400
2020-07-27 00:00:00-04:00,11.39,69451700
2020-07-28 00:00:00-04:00,11.77,62356600
2020-07-29 00:00:00-04:00,11.4,52214600
2020-07-30 00:00:00-04:00,11.18,40525100
2020-07-31 00:00:00-04:00,11.12,51691400
2020-08-03 00:00:00-04:00,11.08,48264000
2020-08-04 00:00:00-04:00,11.47,54824400
2020-08-05 00:00:00-04:00,12.56,113130600
2020-08-06 00:00:00-04:00,13.04,131280100
2020-08-07 00:00:00-04:00,13.03,61700700
2020-08-10 00:00:00-04:00,14.0,121073900
2020-08-11 00:00:00-04:00,13.73,127879300
2020-08-12 00:00:00-04:00,13.54,77379800
2020-08-13 00:00:00-04:00,13.3,47772800
2020-08-14 00:00:00-04:00,13.33,45670200
2020-08-17 00:00:00-04:00,12.62,56206600
2020-08-18 00:00:00-04:00,12.6,33322300
2020-08-19 00:00:00-04:00,12.68,59266500
2020-08-20 00:00:00-04:00,12.5,41956600
2020-08-21 00:00:00-04:00,12.16,35822900
2020-08-24 00:00:00-04:00,13.44,102685700
2020-08-25 00:00:00-04:00,13.14,79053400
2020-08-26 00:00:00-04:00,12.79,44056800
2020-08-27 00:00:00-04:00,13.28,108835700
2020-08-28 00:00:00-04:00,13.59,54516400
2020-08-31 00:00:00-04:00,13.05,45917200
2020-09-01 00:00:00-04:00,13.1,72849700
2020-09-02 00:00:00-04:00,13.23,58889600
2020-09-03 00:00:00-04:00,13.36,86390800
2020-09-04 00:00:00-04:00,13.61,64937000
2020-09-08 00:00:00-04:00,13.63,72746000
2020-09-09 00:00:00-04:00,13.05,79030200
2020-09-10 00:00:00-04:00,13.01,52318600
2020-09-11 00:00:00-04:00,12.95,43916700
2020-09-14 00:00:00-04:00,13.26,39859100
2020-09-15 00:00:00-04:00,13.14,38958800
2020-09-16 00:00:00-04:00,13.8,75200100
2020-09-17 00:00:00-04:00,13.63,50194400
2020-09-18 00:00:00-04:00,13.19,56403600
2020-09-21 00:00:00-04:00,12.21,60604500
2020-09-22 00:00:00-04:00,12.34,33013400
2020-09-23 00:00:00-04:00,11.93,45292600
